Name,Parameter,New Applink (https://perawallet.app/qr/perawallet/app/) - New Deeplink (perawallet://app/),"Old Applink (https://perawallet.app/qr/perawallet/) - Old Deeplink (""algorand://"", ""perawallet://"", ""wc://"", ""perawallet-wc://"")",Android Valid Since ,iOS Destination,Android Destination,Old Deeplink Test,Old Deeplink QR,Old Applink Test,Old Applink QR,New Deeplink Test,New Deeplink QR,New Applink Test,New Applink QR,NOTE
WC_BRIDGE,https%3A%2F%2Fwallet-connect-c.perawallet.app,,,,,,,,,,,,,,
WC_KEY,9844b76265fad3b8e1b9af9e1ede8c56a192e6f029d02f47a31bed2c82f104d0,,,,,,,,,,,,,,
DISCOVER_URL,aHR0cHM6Ly90aW55bWFuLm9yZy8=,base64 encoded,,,,,,,,,,,,,
DISCOVER_PATH,main/markets,,,,,,,,,,,,,,
CARDS_PATH,onboarding/select-country,,,,,,,,,,,,,,
STAKING_PATH,test,,,,,,,,,,,,,,
WC_URI,d2M6YzM2NDRiYTEtYjNmZC00Nzk1LThlMmItNTAzNDNhN2E4MjlmQDE/YnJpZGdlPWh0dHBzJTNBJTJGJTJGd2FsbGV0LWNvbm5lY3QtZy5wZXJhd2FsbGV0LmFwcCZrZXk9YjNiYTA4Zjc3ZGU1Nzk1MWM5ZmUxOTg4MTRiMDhjYmIyMTU0ODBiYTA5MTNjYzAxYjU0YWYzOTFiZjI2NTk0OSZhbGdvcmFuZD10cnVl,base64 encoded,,,,,,,,,,,,,
ASSET_IN_ID,0,,,,,,,,,,,,,,
ASSET_OUT_ID,31566704,,,,,,,,,,,,,,
INTERNAL_BROWSER_URL,aHR0cHM6Ly9wZXJhd2FsbGV0LmFwcC8=,base64 encoded,,,,,,,,,,,,,
NEW_DEEPLINK,perawallet://app/,,,,,,,,,,,,,,
NEW_APPLINK,https://perawallet.app/qr/perawallet/app/,,,,,,,,,,,,,,
OLD_DEEPLINK,perawallet://,,,,,,,,,,,,,,
OLD_APPLINK,https://perawallet.app/qr/perawallet/,,,,,,,,,,,,,,
